cap-diameter,stem-height,stem-width
3.581745914,2.50668257,4.075643821
3.725010239,2.553033273,4.200274825
3.445728475,2.544786533,4.149999977
3.457508903,2.450191427,3.943547801
3.511993679,2.487079961,4.088376298
3.590578605,2.54653062,4.265860237
3.535882216,2.540846704,4.052333652
3.537012942,2.510356473,4.11594323
3.296266472,2.521266574,4.255040783
3.383356628,2.463513839,4.051162657
3.457508903,2.547401069,4.181394218
3.365005723,2.551305014,4.081438996
3.803153953,2.557764519,4.209113515
3.720871427,2.590850861,4.191406588
3.593881273,2.561612336,4.221218887
3.61249864,2.564590795,4.164622284
3.573986571,2.528001975,4.142092721
3.806141427,2.573871447,4.238728941
3.679032778,2.61380194,4.277711288
3.758851533,2.566710673,4.157883592
3.315245657,2.522618731,4.087221357
3.322787822,2.504376791,4.109078616
3.789157047,2.537326308,4.170224759
3.483191309,2.508062489,4.120509689
3.614678087,2.521717576,4.064014764
3.340277955,2.50483854,4.053504121
3.425545606,2.545222954,4.153381554
3.702146222,2.568824264,4.178048329
3.352679387,2.536001679,4.125068226
3.656731599,2.481856355,4.024083331
3.722941841,2.564590795,4.192516741
3.449269686,2.506222006,4.03706949
3.414779712,2.519007291,4.077963433
3.515423206,2.518101579,4.03824684
3.464544961,2.519007291,4.091838065
3.527949864,2.52889526,4.080280988
3.561734757,2.513099604,4.156758802
3.662062821,2.507142838,4.090684651
3.525677904,2.559477223,4.127344534
3.540401437,2.543912891,4.186961318
3.321532741,2.523518753,4.084909946
3.319020247,2.511272016,4.073322148
3.445728475,2.508062489,4.152254843
3.562851536,2.529341485,4.195844414
3.214544495,2.561612336,4.136430116
3.56619829,2.510356473,4.088376298
3.868904088,2.589622117,4.37172145
3.22115316,2.468871715,4.084909946
3.665255097,2.609031433,4.327765782
3.715686539,2.569667949,4.211318597
3.548286528,2.564590795,4.210216285
3.651386859,2.524417646,4.127344534
3.605946675,2.604228623,4.194735654
3.622288374,2.541285537,4.04412561
3.530219342,2.550872295,4.113657019
3.662062821,2.539088673,4.174698204
3.56061738,2.507602811,4.123929333
3.330302049,2.551737471,4.1668647
3.415978716,2.502526819,4.081438996
3.789157047,2.575127673,4.244177313
3.260354567,2.491325777,3.909130676
3.535882216,2.525315412,4.001498529
3.257764788,2.507602811,4.110223966
3.380919351,2.492735495,4.054674064
3.749675312,2.522618731,4.096446646
3.633112594,2.535117227,4.133026698
3.111300338,2.534231681,4.222316646
3.559499403,2.450191427,3.958158018
3.677976142,2.564166062,4.142092721
3.411178485,2.517194722,4.13416166
3.742510823,2.587569477,4.312953211
3.798165554,2.539088673,4.160131734
3.927072243,2.578883109,4.291649787
3.450448738,2.502989759,3.973892802
3.688518816,2.523518753,4.13416166
3.388222475,2.578050278,4.274484385
3.796166937,2.526659953,4.217922886
3.202593652,2.493204787,4.020530355
3.223790536,2.483284741,3.902935836
3.523403457,2.499742892,4.118227452
3.567312682,2.545222954,4.09299097
3.39670994,2.471777491,4.024083331
3.352679387,2.542600421,4.087221357
3.456333888,2.424336208,3.969061548
3.731203378,2.58427288,4.231082458
3.613588646,2.510356473,4.161255088
3.47039006,2.533788496,4.131891247
3.757833901,2.566287202,4.268018882
3.613588646,2.49741468,4.061682723
3.561734757,2.532013007,4.04412561
3.187889402,2.469356826,4.019344949
3.400336672,2.489441842,3.926396945
3.592780963,2.532901302,3.942326529
3.577315533,2.502989759,4.118227452
3.607040092,2.529341485,4.022899546
3.206585202,2.529787431,4.123929333
3.666318117,2.526659953,4.087221357
3.69481929,2.51583228,4.07099841
3.591680074,2.548704757,4.202487258
3.070443031,2.482808927,3.960585014
3.406366985,2.495078897,3.920243763
3.509704173,2.464979032,4.067508922
3.332800622,2.508521873,4.184735882
3.611408066,2.556047693,4.107932766
3.774058039,2.544349846,4.265860237
3.775067965,2.603022824,4.276636086
3.587270716,2.4708102,4.069835765
3.673744303,2.549572562,4.16574373
3.548286528,2.550006069,4.123929333
3.674803058,2.5526016,4.057012378
3.459856926,2.546094997,4.212420453
3.626624756,2.605432377,4.343546517
3.095902134,2.507142838,3.870478352
3.498218544,2.510814391,4.130755305
3.485510311,2.513555774,4.06051592
3.693770513,2.564166062,4.025266576
