class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
1,3.581745914,7,3,7,0,3,11,2.50668257,4.075643821,12,1,3,1,4
1,3.725010239,7,3,7,0,3,11,2.553033273,4.200274825,12,1,3,1,3
1,3.445728475,7,3,7,0,3,11,2.544786533,4.149999977,12,1,3,1,4
1,3.457508903,3,4,2,0,3,11,2.450191427,3.943547801,12,1,6,1,4
1,3.511993679,7,4,7,0,3,11,2.487079961,4.088376298,12,1,6,1,4
1,3.590578605,7,3,7,0,3,11,2.54653062,4.265860237,12,1,6,1,3
1,3.535882216,3,4,7,0,3,11,2.540846704,4.052333652,12,1,3,1,4
1,3.537012942,7,4,2,0,3,11,2.510356473,4.11594323,12,1,6,1,3
1,3.296266472,3,3,7,0,3,11,2.521266574,4.255040783,12,1,6,1,1
1,3.383356628,3,3,2,0,3,11,2.463513839,4.051162657,12,1,6,1,4
1,3.457508903,3,4,2,0,3,11,2.547401069,4.181394218,12,1,6,1,1
1,3.365005723,7,4,7,0,3,11,2.551305014,4.081438996,12,1,6,1,3
1,3.803153953,7,4,7,0,3,11,2.557764519,4.209113515,12,1,3,1,3
1,3.720871427,7,4,7,0,3,11,2.590850861,4.191406588,12,1,6,1,3
1,3.593881273,7,4,2,0,3,11,2.561612336,4.221218887,12,1,3,1,1
1,3.61249864,3,4,2,0,3,11,2.564590795,4.164622284,12,1,6,1,1
1,3.573986571,7,3,2,0,3,11,2.528001975,4.142092721,12,1,6,1,1
1,3.806141427,7,4,7,0,3,11,2.573871447,4.238728941,12,1,6,1,1
1,3.679032778,7,3,7,0,3,11,2.61380194,4.277711288,12,1,6,1,4
1,3.758851533,7,4,2,0,3,11,2.566710673,4.157883592,12,1,6,1,3
1,3.315245657,3,3,2,0,3,11,2.522618731,4.087221357,12,1,3,1,4
1,3.322787822,7,3,2,0,3,11,2.504376791,4.109078616,12,1,3,1,3
1,3.789157047,7,4,7,0,3,11,2.537326308,4.170224759,12,1,3,1,4
