class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,3.56595911,x,g,o,f,e,w,2.485377515,4.126008214,w,t,g,d,w
p,3.663764839,x,g,o,f,e,w,2.489155729,4.148781262,w,t,g,d,u
p,3.500696587,x,g,o,f,e,w,2.498566572,4.183690278,w,t,g,d,w
p,3.511202974,f,h,e,f,e,w,2.460877117,4.112572751,w,t,p,d,w
p,3.52532201,x,h,o,f,e,w,2.479388909,4.132650764,w,t,p,d,w
p,3.549928929,x,g,o,f,e,w,2.4796781,4.179566326,w,t,p,d,u
p,3.549275621,f,h,o,f,e,w,2.484625003,4.111999572,w,t,g,d,w
p,3.508843794,x,h,e,f,e,w,2.485650506,4.147735485,w,t,p,d,u
p,3.437924653,f,g,o,f,e,w,2.473640292,4.173339639,w,t,p,d,a
p,3.443921315,f,g,e,f,e,w,2.471639796,4.109429706,w,t,p,d,w
p,3.51670697,f,h,e,f,e,w,2.483928139,4.159267882,w,t,p,d,a
p,3.408456007,x,h,o,f,e,w,2.491520302,4.140527258,w,t,p,d,u
p,3.639674012,x,h,o,f,e,w,2.490276474,4.143094287,w,t,g,d,u
p,3.611128809,x,h,o,f,e,w,2.488927424,4.142887342,w,t,p,d,u
p,3.528725264,x,h,e,f,e,w,2.48641911,4.142655379,w,t,g,d,a
p,3.480611258,f,h,e,f,e,w,2.480553581,4.142397969,w,t,p,d,a
p,3.474390578,x,g,e,f,e,w,2.476441647,4.142115613,w,t,p,d,a
p,3.583783847,x,h,o,f,e,w,2.481821107,4.141809958,w,t,p,d,a
p,3.638532276,x,g,o,f,e,w,2.494015338,4.141484032,w,t,p,d,w
p,3.645471467,x,h,e,f,e,w,2.492686879,4.141140967,w,t,p,d,u
p,3.343265733,f,g,e,f,e,w,2.474548502,4.140786002,w,t,g,d,w
p,3.401786214,x,g,e,f,e,w,2.467595735,4.140427187,w,t,g,d,u
p,3.71752706,x,h,o,f,e,w,2.478131408,4.140071939,w,t,g,d,w
p,3.499030585,x,g,e,f,e,w,2.482185173,4.13972619,w,t,p,d,w
p,3.574684252,f,g,o,f,e,w,2.476485524,4.139395759,w,t,p,d,u
p,3.405653597,x,g,o,f,e,w,2.475383581,4.1390848,w,t,p,d,w
p,3.466387982,f,h,e,f,e,w,2.478661709,4.13879922,w,t,g,d,u
p,3.680853444,f,g,o,f,e,w,2.480940368,4.138549918,w,t,p,d,u
p,3.455336908,x,h,e,f,e,w,2.481537384,4.138347634,w,t,p,d,a
p,3.559763193,f,g,o,f,e,w,2.474946383,4.138203222,w,t,g,d,w
p,3.629596338,x,g,o,f,e,w,2.481337315,4.138125683,w,t,g,d,a
p,3.489882546,f,g,o,f,e,w,2.479462326,4.138116736,w,t,p,d,u
p,3.501121963,f,h,o,f,e,w,2.478137486,4.13817577,w,t,g,d,a
p,3.539144083,f,h,o,f,e,w,2.476937287,4.138299643,w,t,p,d,a
p,3.488910001,f,h,e,f,e,w,2.476259643,4.138466364,w,t,p,d,u
p,3.526032142,f,g,e,f,e,w,2.475411399,4.138627562,w,t,p,d,u
p,3.530397901,x,g,e,f,e,w,2.474521331,4.138929048,w,t,g,d,w
p,3.538461087,x,g,e,f,e,w,2.47350932,4.139864171,w,t,g,d,u
p,3.527763439,f,g,o,f,e,w,2.472344318,4.140619747,w,t,p,d,a
p,3.496577853,x,g,e,f,e,w,2.471893339,4.138038538,w,t,g,d,w
p,3.45777575,f,g,e,f,e,w,2.47230792,4.134501627,w,t,p,d,w
p,3.462946964,f,h,e,f,e,w,2.472383043,4.14232968,w,t,p,d,w
p,3.51237368,f,g,o,f,e,w,2.471788695,4.156319407,w,t,p,d,w
p,3.507606518,f,g,o,f,e,w,2.47136484,4.140239953,w,t,g,d,a
p,3.332769652,f,h,o,f,e,w,2.468972629,4.104816414,w,t,g,d,w
p,3.519605803,x,g,e,f,e,w,2.458058767,4.141954436,w,t,g,d,a
p,3.80736066,f,g,e,f,e,w,2.505831187,4.212543395,w,t,g,d,w
p,3.228147915,f,g,o,f,e,w,2.43771191,4.05487154,w,t,g,d,w
p,3.611607639,f,g,o,f,e,w,2.487291626,4.17727574,w,t,g,d,u
p,3.5789954,x,g,o,f,e,w,2.469838031,4.130192433,w,t,g,d,w
p,3.498716484,f,h,o,f,e,w,2.472727631,4.135572065,w,t,p,d,w
p,3.543980098,f,h,e,f,e,w,2.473810358,4.135832168,w,t,g,d,w
p,3.553282042,x,g,e,f,e,w,2.47508859,4.136636388,w,t,p,d,u
p,3.555272851,f,h,o,f,e,w,2.473173347,4.131707299,w,t,g,d,a
p,3.544364776,x,g,o,f,e,w,2.472144006,4.123845528,w,t,g,d,w
p,3.558264282,x,h,o,f,e,w,2.472683226,4.131857359,w,t,g,d,w
p,3.558282502,f,h,o,f,e,w,2.475292055,4.149822042,w,t,g,d,u
p,3.423705118,x,h,e,f,e,w,2.469871009,4.129091432,w,t,p,d,a
p,3.387328297,f,h,o,f,e,w,2.460656279,4.089577436,w,t,p,d,u
p,3.702136648,x,h,e,f,e,w,2.475237467,4.167925698,w,t,g,d,u
p,3.358009815,x,g,o,f,e,w,2.459542369,4.099284964,w,t,p,d,a
p,3.51564986,x,h,o,f,e,w,2.465175993,4.130320843,w,t,g,d,a
p,3.274364854,x,g,e,f,e,w,2.467301696,4.141468545,w,t,g,d,u
p,3.395855895,x,g,e,f,e,w,2.464109324,4.137056118,w,t,g,d,a
p,3.638934097,x,h,e,f,e,w,2.457085909,4.118196314,w,t,p,d,w
p,3.566630911,x,h,o,f,e,w,2.466408528,4.144533078,w,t,p,d,u
p,3.220658671,x,h,o,f,e,w,2.482883999,4.187325234,w,t,g,d,w
p,3.561281288,f,g,o,f,e,w,2.447721923,4.070153634,w,t,p,d,w
