class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
e,10.42,f,t,n,t,a,w,11.5,17.75,w,t,g,d,a
e,9.59,f,t,n,t,a,w,9.87,14.71,w,t,g,d,u
e,9.1,f,t,n,t,a,w,11.45,20.24,w,t,g,d,a
e,8.86,x,t,n,t,a,w,11.25,14.37,w,t,g,d,u
e,9.59,x,t,n,t,a,w,7.82,15.06,w,t,g,d,u
e,8.4,x,t,n,t,a,w,8.66,13.02,w,t,g,d,u
e,10.5,f,t,n,t,a,w,13.35,20.89,w,t,g,d,u
e,7.68,f,t,n,t,a,w,10.07,15.26,w,t,g,d,a
e,7.3,f,t,n,t,a,w,8.97,13.82,w,t,g,d,a
e,9.03,x,t,n,t,a,w,12.42,17.95,w,t,g,d,u
e,9.1,f,t,n,t,a,w,11.66,17.84,w,t,g,d,a
e,8.84,x,t,n,t,a,w,10.87,16.99,w,t,g,d,a
e,10.55,x,t,n,t,a,w,11.81,21.48,w,t,g,d,u
e,9.4,f,t,n,t,a,w,10.23,16.39,w,t,g,d,u
e,9.3,f,t,n,t,a,w,10.85,16.21,w,t,g,d,u
e,10.24,x,t,n,t,a,w,12.2,17.59,w,t,g,d,a
e,11.55,x,t,n,t,a,w,13.03,19.21,w,t,g,d,u
e,11.31,x,t,n,t,a,w,11.92,17.81,w,t,g,d,a
e,8.58,f,t,n,t,a,w,9.98,12.63,w,t,g,d,u
e,7.82,f,t,n,t,a,w,9.36,15.41,w,t,g,d,u
e,7.17,x,t,n,t,a,w,9.04,17.24,w,t,g,d,u
e,5.49,x,t,n,t,a,w,8.81,15.5,w,t,g,d,a
e,8.92,f,t,n,t,a,w,10.8,14.94,w,t,g,d,a
e,10.15,x,t,n,t,a,w,12.61,15.4,w,t,g,d,a
e,12.56,f,t,n,t,a,w,12.19,19.44,w,t,g,d,a
e,8.12,x,t,n,t,a,w,10.26,17.61,w,t,g,d,a
e,10.09,f,t,n,t,a,w,12.16,15.8,w,t,g,d,u
e,9.99,x,t,n,t,a,w,12.86,20.95,w,t,g,d,u
e,10.82,x,t,n,t,a,w,9.99,15.64,w,t,g,d,u
e,10.96,f,t,n,t,a,w,12.01,22.12,w,t,g,d,u
e,9.25,f,t,n,t,a,w,11.7,17.18,w,t,g,d,u
e,10.5,x,t,n,t,a,w,13.07,21.08,w,t,g,d,u
e,10.62,f,t,n,t,a,w,10.12,14.59,w,t,g,d,u
e,11.53,f,t,n,t,a,w,12.57,20.5,w,t,g,d,u
e,8.28,x,t,n,t,a,w,12.24,20.37,w,t,g,d,u
e,9.21,x,t,n,t,a,w,10.45,15.13,w,t,g,d,u
e,10.47,x,t,n,t,a,w,9,13.51,w,t,g,d,u
e,9.59,f,t,n,t,a,w,11.93,20.46,w,t,g,d,a
e,10.1,f,t,n,t,a,w,10.24,15.1,w,t,g,d,u
e,9.67,f,t,n,t,a,w,11.1,16.54,w,t,g,d,a
e,11.34,f,t,n,t,a,w,11.66,18.23,w,t,g,d,a
e,11.68,x,t,n,t,a,w,11.95,16.69,w,t,g,d,a
e,11.55,f,t,n,t,a,w,10.06,15.33,w,t,g,d,u
e,7.51,f,t,n,t,a,w,10.09,13.45,w,t,g,d,u
e,9.2,x,t,n,t,a,w,10.22,13.14,w,t,g,d,u
e,12.59,x,t,n,t,a,w,12.33,15.4,w,t,g,d,u
e,12.09,f,t,n,t,a,w,11.15,15.99,w,t,g,d,a
e,7.02,x,t,n,t,a,w,8.33,11.93,w,t,g,d,u
e,9.39,f,t,n,t,a,w,9.04,16.26,w,t,g,d,u
e,7.78,x,t,n,t,a,w,9.21,16.56,w,t,g,d,u
e,9.13,x,t,n,t,a,w,9.98,14.84,w,t,g,d,a
e,12.09,f,t,n,t,a,w,13.13,23.58,w,t,g,d,u
e,11.57,x,t,n,t,a,w,11.97,18.65,w,t,g,d,a
e,10.91,x,t,n,t,a,w,12.11,17.8,w,t,g,d,u
e,10.27,f,t,n,t,a,w,10.57,20.4,w,t,g,d,a
e,9.62,f,t,n,t,a,w,13.19,21.09,w,t,g,d,a
e,12.8,x,t,n,t,a,w,11.95,18,w,t,g,d,u
