class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,3.581745914,x,g,o,f,e,w,2.50668257,4.075643821,w,t,g,d,w
p,3.725010239,x,g,o,f,e,w,2.553033273,4.200274825,w,t,g,d,u
p,3.445728475,x,g,o,f,e,w,2.544786533,4.149999977,w,t,g,d,w
p,3.457508903,f,h,e,f,e,w,2.450191427,3.943547801,w,t,p,d,w
p,3.511993679,x,h,o,f,e,w,2.487079961,4.088376298,w,t,p,d,w
p,3.590578605,x,g,o,f,e,w,2.54653062,4.265860237,w,t,p,d,u
p,3.535882216,f,h,o,f,e,w,2.540846704,4.052333652,w,t,g,d,w
p,3.537012942,x,h,e,f,e,w,2.510356473,4.11594323,w,t,p,d,u
p,3.296266472,f,g,o,f,e,w,2.521266574,4.255040783,w,t,p,d,a
p,3.383356628,f,g,e,f,e,w,2.463513839,4.051162657,w,t,p,d,w
p,3.457508903,f,h,e,f,e,w,2.547401069,4.181394218,w,t,p,d,a
p,3.365005723,x,h,o,f,e,w,2.551305014,4.081438996,w,t,p,d,u
p,3.803153953,x,h,o,f,e,w,2.557764519,4.209113515,w,t,g,d,u
p,3.720871427,x,h,o,f,e,w,2.590850861,4.191406588,w,t,p,d,u
p,3.593881273,x,h,e,f,e,w,2.561612336,4.221218887,w,t,g,d,a
p,3.61249864,f,h,e,f,e,w,2.564590795,4.164622284,w,t,p,d,a
p,3.573986571,x,g,e,f,e,w,2.528001975,4.142092721,w,t,p,d,a
p,3.806141427,x,h,o,f,e,w,2.573871447,4.238728941,w,t,p,d,a
p,3.679032778,x,g,o,f,e,w,2.61380194,4.277711288,w,t,p,d,w
p,3.758851533,x,h,e,f,e,w,2.566710673,4.157883592,w,t,p,d,u
p,3.315245657,f,g,e,f,e,w,2.522618731,4.087221357,w,t,g,d,w
p,3.322787822,x,g,e,f,e,w,2.504376791,4.109078616,w,t,g,d,u
p,3.789157047,x,h,o,f,e,w,2.537326308,4.170224759,w,t,g,d,w
p,3.483191309,x,g,e,f,e,w,2.508062489,4.120509689,w,t,p,d,w
p,3.614678087,f,g,o,f,e,w,2.521717576,4.064014764,w,t,p,d,u
p,3.340277955,x,g,o,f,e,w,2.50483854,4.053504121,w,t,p,d,w
p,3.425545606,f,h,e,f,e,w,2.545222954,4.153381554,w,t,g,d,u
p,3.702146222,f,g,o,f,e,w,2.568824264,4.178048329,w,t,p,d,u
p,3.352679387,x,h,e,f,e,w,2.536001679,4.125068226,w,t,p,d,a
p,3.656731599,f,g,o,f,e,w,2.481856355,4.024083331,w,t,g,d,w
p,3.722941841,x,g,o,f,e,w,2.564590795,4.192516741,w,t,g,d,a
p,3.449269686,f,g,o,f,e,w,2.506222006,4.03706949,w,t,p,d,u
p,3.414779712,f,h,o,f,e,w,2.519007291,4.077963433,w,t,g,d,a
p,3.515423206,f,h,o,f,e,w,2.518101579,4.03824684,w,t,p,d,a
p,3.464544961,f,h,e,f,e,w,2.519007291,4.091838065,w,t,p,d,u
p,3.527949864,f,g,e,f,e,w,2.52889526,4.080280988,w,t,p,d,u
p,3.561734757,x,g,e,f,e,w,2.513099604,4.156758802,w,t,g,d,w
p,3.662062821,x,g,e,f,e,w,2.507142838,4.090684651,w,t,g,d,u
p,3.525677904,f,g,o,f,e,w,2.559477223,4.127344534,w,t,p,d,a
p,3.540401437,x,g,e,f,e,w,2.543912891,4.186961318,w,t,g,d,w
p,3.321532741,f,g,e,f,e,w,2.523518753,4.084909946,w,t,p,d,w
p,3.319020247,f,h,e,f,e,w,2.511272016,4.073322148,w,t,p,d,w
p,3.445728475,f,g,o,f,e,w,2.508062489,4.152254843,w,t,p,d,w
p,3.562851536,f,g,o,f,e,w,2.529341485,4.195844414,w,t,g,d,a
p,3.214544495,f,h,o,f,e,w,2.561612336,4.136430116,w,t,g,d,w
p,3.56619829,x,g,e,f,e,w,2.510356473,4.088376298,w,t,g,d,a
p,3.868904088,f,g,e,f,e,w,2.589622117,4.37172145,w,t,g,d,w
p,3.22115316,f,g,o,f,e,w,2.468871715,4.084909946,w,t,g,d,w
p,3.665255097,f,g,o,f,e,w,2.609031433,4.327765782,w,t,g,d,u
p,3.715686539,x,g,o,f,e,w,2.569667949,4.211318597,w,t,g,d,w
p,3.548286528,f,h,o,f,e,w,2.564590795,4.210216285,w,t,p,d,w
p,3.651386859,f,h,e,f,e,w,2.524417646,4.127344534,w,t,g,d,w
p,3.605946675,x,g,e,f,e,w,2.604228623,4.194735654,w,t,p,d,u
p,3.622288374,f,h,o,f,e,w,2.541285537,4.04412561,w,t,g,d,a
p,3.530219342,x,g,o,f,e,w,2.550872295,4.113657019,w,t,g,d,w
p,3.662062821,x,h,o,f,e,w,2.539088673,4.174698204,w,t,g,d,w
p,3.56061738,f,h,o,f,e,w,2.507602811,4.123929333,w,t,g,d,u
p,3.330302049,x,h,e,f,e,w,2.551737471,4.1668647,w,t,p,d,a
p,3.415978716,f,h,o,f,e,w,2.502526819,4.081438996,w,t,p,d,u
p,3.789157047,x,h,e,f,e,w,2.575127673,4.244177313,w,t,g,d,u
p,3.260354567,x,g,o,f,e,w,2.491325777,3.909130676,w,t,p,d,a
p,3.535882216,x,h,o,f,e,w,2.525315412,4.001498529,w,t,g,d,a
p,3.257764788,x,g,e,f,e,w,2.507602811,4.110223966,w,t,g,d,u
p,3.380919351,x,g,e,f,e,w,2.492735495,4.054674064,w,t,g,d,a
p,3.749675312,x,h,e,f,e,w,2.522618731,4.096446646,w,t,p,d,w
p,3.633112594,x,h,o,f,e,w,2.535117227,4.133026698,w,t,p,d,u
p,3.111300338,x,h,o,f,e,w,2.534231681,4.222316646,w,t,g,d,w
p,3.559499403,f,g,o,f,e,w,2.450191427,3.958158018,w,t,p,d,w
p,3.677976142,x,h,e,f,e,w,2.564166062,4.142092721,w,t,p,d,a
p,3.411178485,f,h,o,f,e,w,2.517194722,4.13416166,w,t,g,d,w
p,3.742510823,f,h,e,f,e,w,2.587569477,4.312953211,w,t,g,d,u
p,3.798165554,f,g,o,f,e,w,2.539088673,4.160131734,w,t,g,d,u
p,3.927072243,x,h,e,f,e,w,2.578883109,4.291649787,w,t,p,d,u
p,3.450448738,f,h,e,f,e,w,2.502989759,3.973892802,w,t,g,d,u
p,3.688518816,f,g,o,f,e,w,2.523518753,4.13416166,w,t,p,d,u
p,3.388222475,x,g,o,f,e,w,2.578050278,4.274484385,w,t,p,d,w
p,3.796166937,f,g,o,f,e,w,2.526659953,4.217922886,w,t,g,d,u
p,3.202593652,f,g,e,f,e,w,2.493204787,4.020530355,w,t,p,d,a
p,3.223790536,x,h,e,f,e,w,2.483284741,3.902935836,w,t,p,d,a
p,3.523403457,x,h,o,f,e,w,2.499742892,4.118227452,w,t,p,d,w
p,3.567312682,f,h,e,f,e,w,2.545222954,4.09299097,w,t,p,d,u
p,3.39670994,f,g,o,f,e,w,2.471777491,4.024083331,w,t,g,d,u
p,3.352679387,x,g,e,f,e,w,2.542600421,4.087221357,w,t,p,d,w
p,3.456333888,f,g,o,f,e,w,2.424336208,3.969061548,w,t,g,d,w
p,3.731203378,x,h,o,f,e,w,2.58427288,4.231082458,w,t,p,d,a
p,3.613588646,f,g,e,f,e,w,2.510356473,4.161255088,w,t,p,d,a
p,3.47039006,f,g,e,f,e,w,2.533788496,4.131891247,w,t,p,d,a
p,3.757833901,x,g,e,f,e,w,2.566287202,4.268018882,w,t,g,d,w
p,3.613588646,x,h,e,f,e,w,2.49741468,4.061682723,w,t,p,d,w
p,3.561734757,x,h,o,f,e,w,2.532013007,4.04412561,w,t,p,d,u
p,3.187889402,f,g,o,f,e,w,2.469356826,4.019344949,w,t,p,d,a
p,3.400336672,f,g,e,f,e,w,2.489441842,3.926396945,w,t,p,d,u
p,3.592780963,f,g,o,f,e,w,2.532901302,3.942326529,w,t,p,d,a
p,3.577315533,f,g,o,f,e,w,2.502989759,4.118227452,w,t,p,d,u
p,3.607040092,f,h,e,f,e,w,2.529341485,4.022899546,w,t,p,d,a
p,3.206585202,x,h,e,f,e,w,2.529787431,4.123929333,w,t,g,d,u
p,3.666318117,f,h,o,f,e,w,2.526659953,4.087221357,w,t,p,d,u
p,3.69481929,f,h,e,f,e,w,2.51583228,4.07099841,w,t,g,d,u
p,3.591680074,f,g,o,f,e,w,2.548704757,4.202487258,w,t,g,d,u
p,3.070443031,x,h,o,f,e,w,2.482808927,3.960585014,w,t,g,d,a
p,3.406366985,x,g,e,f,e,w,2.495078897,3.920243763,w,t,g,d,u
p,3.509704173,f,h,e,f,e,w,2.464979032,4.067508922,w,t,p,d,a
p,3.332800622,f,h,o,f,e,w,2.508521873,4.184735882,w,t,p,d,w
p,3.611408066,x,g,o,f,e,w,2.556047693,4.107932766,w,t,p,d,w
