class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-color,stem-height,stem-width,stem-color,has-ring,ring-type,habitat,season
p,14.76855543,x,g,o,f,e,w,16.46519074,17.31013331,w,t,g,d,w
p,15.74123364,x,g,o,f,e,w,16.99053164,17.30907611,w,t,g,d,u
p,14.37173342,x,g,o,f,e,w,17.09807388,17.30801386,w,t,g,d,w
p,14.53400126,f,h,e,f,e,w,15.80869005,17.30694656,w,t,p,d,w
p,14.59373155,x,h,o,f,e,w,16.20325643,17.30587418,w,t,p,d,w
p,14.7421032,x,g,o,f,e,w,16.69100164,17.30479669,w,t,p,d,u
p,14.72760045,f,h,o,f,e,w,16.79680881,17.30371407,w,t,g,d,w
p,14.44049982,x,h,e,f,e,w,16.56531526,17.3026263,w,t,p,d,u
p,13.95962763,f,g,o,f,e,w,16.39754599,17.30153338,w,t,p,d,a
p,14.06349634,f,g,e,f,e,w,15.96631423,17.3004353,w,t,p,d,w
p,14.60711329,f,h,e,f,e,w,16.76707153,17.29933207,w,t,p,d,a
p,13.6171487,x,h,o,f,e,w,17.06840262,17.29822365,w,t,p,d,u
p,15.54897827,x,h,o,f,e,w,17.04734248,17.29711003,w,t,g,d,u
p,15.28800435,x,h,o,f,e,w,17.16233909,17.29599122,w,t,p,d,u
p,14.59612683,x,h,e,f,e,w,17.05769712,17.29486718,w,t,g,d,a
p,14.19954881,f,h,e,f,e,w,16.84068436,17.29373791,w,t,p,d,a
p,14.01158988,x,g,e,f,e,w,16.62865088,17.29260341,w,t,p,d,a
p,15.01739669,x,h,o,f,e,w,16.94187249,17.29146364,w,t,p,d,a
p,15.4860723,x,g,o,f,e,w,17.59360322,17.2903186,w,t,p,d,w
p,15.65843662,x,h,e,f,e,w,17.25063315,17.28916828,w,t,p,d,u
p,13.115385,f,g,e,f,e,w,16.51626863,17.28801268,w,t,g,d,w
p,13.63998288,x,g,e,f,e,w,16.12273193,17.2868518,w,t,g,d,u
p,16.27620285,x,h,o,f,e,w,16.61834044,17.28568563,w,t,g,d,w
p,14.24556861,x,g,e,f,e,w,16.48109218,17.28451416,w,t,p,d,w
p,15.0704316,f,g,o,f,e,w,16.46447384,17.28333738,w,t,p,d,u
p,13.59846114,x,g,o,f,e,w,16.46670786,17.28215528,w,t,p,d,w
p,14.04198127,f,h,e,f,e,w,16.78767579,17.28096783,w,t,g,d,u
